branch	class	ahead	behind	last_commit	open_pr	unique_patchids_not_upstream	unique_patchids_not_upstream_or_main	in_main	unique_commits	unique_nonmerge_commits	empty_diff_commits	name_issue	name_issue_seen_upstream	tip_sha	tip_subject
chain/next	1-MERGED-ANCESTRY	0	2	2026-09-12	0	0	0	0	0	0	0	-	-1	f0175b709	Merge #3273 docs/claims: correct false review + CI-green claims on #3240/#3235 merges (grok 42a05fb0
docs/3064-pg-unavailable-tools	1-MERGED-ANCESTRY	0	667	2026-08-31	0	0	0	0	0	0	0	3064	1	0ab8474d8	docs(postgres): reconcile pg-unavailable tools inventory to 65/17 (#3064)
docs/3075-pg-federation-lanes	1-MERGED-ANCESTRY	0	667	2026-08-31	0	0	0	0	0	0	0	3075	1	26532baa5	docs(#3075): postgres-receiver federation lanes are sqlite-only (v1.0.0)
docs/3595-cert-reissue	1-MERGED-ANCESTRY	0	100	2026-09-10	0	0	0	0	0	0	0	3595	1	f740ba5bf	docs(#3595): re-issue enterprise-federation certification after #3582
docs/fable-astra-audit-2026-09-09	1-MERGED-ANCESTRY	0	241	2026-09-09	0	0	0	0	0	0	0	2026	1	403e709e3	docs(reviews): record the v1.0.0 GA freeze line and v1.1.0 as the certification release [skip ci]
docs/g5-drift-fixes	1-MERGED-ANCESTRY	0	645	2026-08-31	0	0	0	0	0	0	0	-	-1	21085952e	docs: fix v1.0.0 GA doc-drift — stale schema/tool counts + swarm MVG omission (g5)
docs/passes-2-3-drift	1-MERGED-ANCESTRY	0	633	2026-08-31	0	0	0	0	0	0	0	-	-1	83dfc6a5c	docs: passes 2-3 drift fixes (DOC-4/5/6/7) — federation scope, schema v94, CHANGELOG dedup
feat/3322-swarm-rewind	1-MERGED-ANCESTRY	0	669	2026-08-31	0	0	0	0	0	0	0	3322	1	52b07b44a	fix(#3322): satisfy doc-surface + hardcoded-literal CI gates
feat/3323-lineage-cost-accounting	1-MERGED-ANCESTRY	0	676	2026-08-30	0	0	0	0	0	0	0	3323	1	383efbef9	feat(cost): per-lineage + per-namespace token/cost accounting (#3323)
feat/3324-contaminated-lifecycle	1-MERGED-ANCESTRY	0	674	2026-08-30	0	0	0	0	0	0	0	3324	1	ab55252f1	feat(#3324): auto-propagate `contaminated` lifecycle along derives_from on invalidate
feat/acceptance-nhi-sqlite	1-MERGED-ANCESTRY	0	714	2026-08-30	0	0	0	0	0	0	0	-	-1	4375a1fa3	fix(acceptance): Config-1 harness passes live — admin-header-trust + valid agent_type
feat/glm-swarm-driver	1-MERGED-ANCESTRY	0	709	2026-08-30	0	0	0	0	0	0	0	-	-1	5c1300a51	test(swarm): add GLM-5.3-Flash acceptance-swarm driver (test-only)
fix/2555-schema-version-guard	1-MERGED-ANCESTRY	0	690	2026-08-30	0	0	0	0	0	0	0	2555	1	189140ed3	test(#2555): coverage — boot + doctor poisoned-ledger branches
fix/3041-provenance-equal-instant	1-MERGED-ANCESTRY	0	667	2026-08-31	0	0	0	0	0	0	0	3041	1	d6508042b	fix(storage): refuse equal-instant provenance edge that closes a cycle (#3041)
fix/3064-pg-tool-parity	1-MERGED-ANCESTRY	0	417	2026-09-05	0	0	0	0	0	0	0	3064	1	24792d71d	docs(#3064): cite #3507 for the memory_calibrate_confidence caller gate
fix/3071-bulk-secret-screen-order	1-MERGED-ANCESTRY	0	661	2026-08-31	0	0	0	0	0	0	0	3071	1	dd3aed143	fix(#3071): screen secrets before attestation on the /bulk path (match single-create 400 secret-scre
fix/3075-pg-federation-lanes	1-MERGED-ANCESTRY	0	406	2026-09-05	0	0	0	0	0	0	0	3075	1	8dd9d5329	fix(#3075): gate the four federated-apply trait arms explicitly for the #3175 parity scan
fix/3111-capability-inline-tests	1-MERGED-ANCESTRY	0	684	2026-08-30	0	0	0	0	0	0	0	3111	1	f7ae94139	fix(governance): align capability.rs inline tests to #3111 terminal-Deny
fix/3111-terminal-operator-deny	1-MERGED-ANCESTRY	0	696	2026-08-30	0	0	0	0	0	0	0	3111	1	884bfbb03	fix(governance): make an operator/rule-derived Deny terminal — never token-flippable (#3111)
fix/3117-cert-legA-keyless	1-MERGED-ANCESTRY	0	686	2026-08-30	0	0	0	0	0	0	0	3117	1	e92df758c	fix(ci): un-red the certified-postgres cert gate under the fleet umask (#3117)
fix/3142-db-url-scheme-refuse	1-MERGED-ANCESTRY	0	703	2026-08-30	0	0	0	0	0	0	0	3142	1	eb10d8837	fix(daemon): refuse URL-shaped --db / AI_MEMORY_DB fail-closed (#3142)
fix/3188-namespace-governance-parity	1-MERGED-ANCESTRY	0	678	2026-08-30	0	0	0	0	0	0	0	3188	1	d756fe460	fix(#3188): cross-backend namespace governance parity + fail-closed parent auto-detection
fix/3191-coordination-atomicity	1-MERGED-ANCESTRY	0	696	2026-08-30	0	0	0	0	0	0	0	3191	1	faf7d3c2d	fix(#3191): coordination-plane atomicity (F-1..F-5, fail-closed, both backends)
fix/3199-signed-backup-manifests	1-MERGED-ANCESTRY	0	33	2026-09-11	0	0	0	0	0	0	0	3199	1	4d24b24c4	test(#3199): the #3553 not-SQLite-at-all restore test gains latest/allow_unsigned_manifest
fix/3204-hardening-batch	1-MERGED-ANCESTRY	0	21	2026-09-11	0	0	0	0	0	0	0	3204	1	efda5d4ae	test(#3204): WIP 4 — rule (e) pin flip in mtls_cert_peer_binding_2045 (wire note carries no knob)
fix/3259-pg-promote-namespace	1-MERGED-ANCESTRY	0	667	2026-08-31	0	0	0	0	0	0	0	3259	1	09d7d11bd	fix(#3259): honor to_namespace in postgres execute_pending_action promote arm
fix/3273-merge-message-truth	1-MERGED-ANCESTRY	0	9	2026-09-11	0	0	0	0	0	0	0	3273	1	42a05fb04	docs(#3273): correct false Fable-review + CI-green claims on #3240/#3235 merges
fix/3279-since-until-timestamp-parity	1-MERGED-ANCESTRY	0	703	2026-08-30	0	0	0	0	0	0	0	3279	1	2ae7a7c75	fix(#3279): compare search/list/recall since/until by INSTANT on sqlite
fix/3281-invalidate-link-hash-parity	1-MERGED-ANCESTRY	0	655	2026-08-31	0	0	0	0	0	0	0	3281	1	46ed0ca7e	fix(#3281): canonicalize invalidate_link valid_until identically on both backends for audit-leaf byt
fix/3290-pg-sever-audit-event	1-MERGED-ANCESTRY	0	659	2026-08-31	0	0	0	0	0	0	0	3290	1	6c7b4d90c	fix(#3290): emit WARN + signed audit event on postgres namespace-standard SEVER (sqlite parity)
fix/3297-docs-claims-truthfulness	1-MERGED-ANCESTRY	0	69	2026-09-11	0	0	0	0	0	0	0	3297	1	a32a47f3e	docs(#3297): sanitize AGE capture host/database rows
fix/3329-macos-config-path-regressions	1-MERGED-ANCESTRY	0	628	2026-09-01	0	0	0	0	0	0	0	3329	1	810675545	fix: silence config advisories for quiet boot (#3329)
fix/3332-stats-envelope-parity	1-MERGED-ANCESTRY	0	605	2026-09-01	0	0	0	0	0	0	0	3332	1	e995a710a	fix(stats): normalize postgres count lists (#3332)
fix/3341a-pg-get-links	1-MERGED-ANCESTRY	0	562	2026-09-02	0	0	0	0	0	0	0	-	-1	417244e42	test(perf): hoist Once out of build_pg_router (#3341a)
fix/3343-stats-namespaces-pagination	1-MERGED-ANCESTRY	0	562	2026-09-02	0	0	0	0	0	0	0	3343	1	3111c2933	fix(perf): stats others.namespace_count (hardcoded-literal gate)
fix/3344-embed-skip-undecryptable	1-MERGED-ANCESTRY	0	555	2026-09-03	0	0	0	0	0	0	0	3344	1	7c729d1a1	fix: v96 embed_skip memories triggers are ladder-owned, not SCHEMA (#3344)
fix/3345-curator-report-bloat	1-MERGED-ANCESTRY	0	424	2026-09-05	0	0	0	0	0	0	0	3345	1	b0547b36d	fix(curator): route the pg daily-rollup write through the signed revision ledger (#3345 amendment)
fix/3346-assess-concurrency	1-MERGED-ANCESTRY	0	599	2026-09-02	0	0	0	0	0	0	0	3346	1	8caaae491	perf(swarm-harness): bound rubric-assessment concurrency and stream partial evidence (#3346)
fix/3348-system-namespace-visibility	1-MERGED-ANCESTRY	0	534	2026-09-04	0	0	0	0	0	0	0	3348	1	564b1fe02	fix(http): enforce system namespace visibility parity (#3348)
fix/3352-boot-dedupe	1-MERGED-ANCESTRY	0	552	2026-09-02	0	0	0	0	0	0	0	3352	1	f8c26450f	docs(#3352): state boot/session_start near-duplicate clustering and similar_count
fix/3355-test-key-dir-isolation	1-MERGED-ANCESTRY	0	446	2026-09-05	0	0	0	0	0	0	0	3355	1	6bf73e47d	fix(identity): preserve enrolled public-only keys during pruning (#3355)
fix/3356-inbox-isolation-fail-closed	1-MERGED-ANCESTRY	0	561	2026-09-02	0	0	0	0	0	0	0	3356	1	046e0d584	test(identity): remove superseded #3356 lock helper
fix/3357-skill-export-jail	1-MERGED-ANCESTRY	0	552	2026-09-03	0	0	0	0	0	0	0	3357	1	65251c6a2	docs(ssot): record AI_MEMORY_SKILLS_EXPORT_ROOT in the CLAUDE.md env-var census (#3357)
fix/3358-notify-quota-accounting	1-MERGED-ANCESTRY	0	535	2026-09-03	0	0	0	0	0	0	0	3358	1	84edeab1e	fix: account notify writes against sender quota
fix/3359-routine-run-guard-quota	1-MERGED-ANCESTRY	0	447	2026-09-05	0	0	0	0	0	0	0	3359	1	c12250c8a	fix: guard and quota routine materialisation (#3359)
fix/3360-action-transition-lease-binding	1-MERGED-ANCESTRY	0	553	2026-09-02	0	0	0	0	0	0	0	3360	1	811fb63c0	fix(coordination): make the action-transition lease binding structural, not opt-in (#3360)
fix/3361-lease-holder-principal	1-MERGED-ANCESTRY	0	578	2026-09-02	0	0	0	0	0	0	0	3361	1	e31bec71e	fix(mcp): bind the coordination lease holder to the resolved caller principal (#3361)
fix/3362-reserved-namespaces	1-MERGED-ANCESTRY	0	553	2026-09-02	0	0	0	0	0	0	0	3362	1	c5ee0eb63	fix: reserve system namespaces from caller writes
fix/3363-principal-binding	1-MERGED-ANCESTRY	0	603	2026-09-01	0	0	0	0	0	0	0	3363	1	ee883f692	fix(mcp): bind the caller principal on the 8 caller-asserted agent_id tools (#3363)
fix/3364-signal-ack-authz	1-MERGED-ANCESTRY	0	601	2026-09-02	0	0	0	0	0	0	0	3364	1	43ed620aa	fix(coordination): restrict memory_signal_ack to the addressee and record the resolved caller (#3364
fix/3366-rfc3339-since-until-v2	1-MERGED-ANCESTRY	0	451	2026-09-04	0	0	0	0	0	0	0	3366	1	0f3422422	fix: enforce timestamp bounds on HTTP search (#3366)
